"question","answer"
"What is a unique benefit of The Senior Friendly Plan?","A unique benefit of this Package is the provision of free calls to Cymbal Telecom Customer Support from the activated line itself."
"How much data rollover is allowed with The Student Connect package?","Up to 5 GB of unused high-speed data can be carried over to the immediate subsequent billing cycle, provided the account remains active and in good standing."
"When is rolled-over data consumed with The Student Connect package?","Rolled over data is always consumed first."
"What is the maximum reduced speed for data on The Tablet Data Plan after exceeding the allowance?","Data speeds will be reduced to a maximum of 128 kbps."
"What are the roaming costs for data in Germany?","Data roaming in Germany costs ""$5.00"" per MB."
"What is the cost of an SMS message while roaming in Brazil?","Sending an SMS message while roaming in Brazil costs ""$0.20"" per SMS."
"How much does it cost to make a call within the UAE while roaming?","Calls within the UAE and back to the home network while roaming cost ""$1.00"" per minute."
"How are charges applied for roaming services?","Charges are applied based on the per-minute, per-SMS, and per-MB rates outlined in the ""Roaming Coverage and Costs"" table."
"When are all roaming charges applied to the customer's statement?","All roaming charges will be itemized and applied to your next monthly statement."
"What might lead to a temporary suspension of roaming services?","Excessive roaming usage or accumulated charges exceeding a predefined threshold may lead to a temporary suspension of services or require a security deposit."
"Are calls to special numbers (e.g., premium rate numbers) accessible while roaming?","Calls to special numbers may have different charges or may not be accessible while roaming."
"What should customers be advised regarding Wi-Fi Calling to avoid roaming data charges?","Customers should be advised to disable mobile data if they wish to avoid any potential roaming data charges, especially when connecting to public Wi-Fi networks."
"How does Cymbal Telecom notify customers of changes to roaming terms and conditions?","Customers will be notified of significant changes via the MyCymbal App, email, or other appropriate communication channels."
"What does ""No Audio / Dead Air"" problem mean?","The customer reports that they cannot hear anyone, and/or the other party cannot hear them, resulting in complete silence or ""dead air"" on a call."
"What is the problem statement for ""One-Way Audio""?","The customer can hear the other party, but the other party cannot hear them (or vice-versa). Audio flows only in one direction."
"What is the problem statement for ""Poor Audio Quality / Static / Choppy Audio""?","The customer reports that voice calls are breaking up, sound robotic, contain static, or are excessively noisy."
"What is the problem statement for ""Excessive Audio Latency / Delay""?","The customer reports noticeable delays during conversations, making it difficult to have natural conversation (""talking over each other""). This is often described as an ""echo"" if delayed audio from the other end is heard back."
"What is the problem statement for ""Incorrect Billing for Voice Calls""?","The customer reports that a voice call was incorrectly charged, or they were charged for a call they did not make."
"Where can agents find protocols for handling customer complaints and escalations?","Protocols and forms for effectively handling customer complaints, dissatisfaction, and formal escalations can be found in the Complaint & Escalation Workflow."
"Where can agents access e-learning modules and training materials?","E-learning modules, quizzes, and training materials for ongoing professional development are available on the Agent Training Portal - Current Modules."
"Where are official announcements and policy updates posted for agents?","Official announcements, policy updates, system downtimes, and important company news for all agents are posted on the Internal Communication Board."
"Can The Starter Bundle be used for international calls?","No, The Starter Bundle is intended for personal, non-commercial use within Cymbal Telecom's national network and excludes international calls, international roaming, and premium services."
"Are premium SMS services included in the base rates?","No, premium SMS services are excluded from the base rates."
"What is the reduced data speed for The Everyday Essentials after the allowance is exceeded?","Data speeds will be reduced to a maximum of 256 kbps."
"Are international calls covered by The Power User Plan?","No, The Power User Plan does not include international calls, international roaming, premium rate services, or calls to satellite phones."
"Is there a maximum number of additional lines for The Family Connect plan?","Yes, up to a maximum of four additional lines can be activated."
"What is the reduced data speed for domestic usage on The Traveler's Buddy after the allowance is exceeded?","Data speeds are reduced to 128 kbps for the remainder of the billing cycle."
"Does The Basic Talk & Text package include international services?","No, The Basic Talk & Text package is for personal use only and does not include international calls, roaming, and premium rate services."
"What is the reduced data speed for The Data Lover's Plan after the allowance is exceeded?","Data speeds will be reduced to a maximum of 1 Mbps."
"Does The Senior Friendly Plan cover international services?","No, The Senior Friendly Plan primarily covers national services; international calls, international roaming, and premium services are excluded."
"Is The Student Connect package exclusively for eligible students?","Yes, The Student Connect package is strictly for eligible students."
"What happens to unused data from The Tablet Data Plan?","Unused data from the 30 GB allocation does not roll over to subsequent billing cycles."
"Can I use The Tablet Data Plan for voice calls?","No, voice and SMS services are explicitly not included with The Tablet Data Plan."
"What are the roaming costs for voice calls in Italy?","Voice calls while roaming in Italy cost ""$0.25"" per minute."
"What are the roaming costs for data in South Korea?","Data roaming in South Korea costs ""$15.00"" per MB."
"Are there any specific notes for roaming in Turkey?","There are no specific notes provided for roaming in Turkey, only the rates."
"What if a customer using VoIP adapters or IP phones behind their own router has no audio?","Advise them to check their router's NAT settings and ensure SIP/RTP ports are not being blocked."
"What should be done if a customer reports high latency hops during a trace route?","If high latency is identified within Cymbal's network, escalate for network operations team review."
"How often can Cymbal Telecom modify roaming terms and conditions?","Cymbal Telecom reserves the right to modify these terms and conditions, roaming rates, or coverage areas at any time."
"What is the purpose of the Fair Usage Policy for unlimited National SMS in packages?","To prevent misuse such as bulk messaging or commercial applications."
"Are receiving standard SMS messages free while roaming?","Yes, receiving standard SMS messages is typically free, but receiving premium SMS (e.g., subscription services) may incur charges."
"How does the ""Last Updated"" date relate to the information provided?","It indicates when the information in the document was last revised, for example, the Rates and Packages document was last updated on October 26, 2024."
"What is the roaming cost for data in Sweden?","Data roaming in Sweden costs ""$5.00"" per MB."
"Can customers view internal job openings?","Yes, customers can view internal job openings and opportunities for career advancement within Cymbal Telecom through the Cymbal Telecom Careers Portal."
"What is the role of the Quality Assurance Guidelines?","The Quality Assurance Guidelines document explains expectations for call quality, interaction handling, and resolution protocols for agents."
"What should be done if a customer suspects phone fraud or unwanted calls leading to incorrect billing?","Elevate to the security team if fraud is suspected."
"What is the charge for calling Cymbal Telecom Customer Support while roaming?","Standard international calling rates apply when dialing `+1-XXX-XXX-XXXX`."
"Are there any exceptions to the per-minute billing for national voice calls?","Calls to specific premium or international numbers are excluded and will be charged at higher prevailing rates."
"Is data usage above 10MB in a single session always subject to a soft cap on speed?","It *may* be subject to a soft cap on speed at the discretion of Cymbal Telecom's network management policies during peak hours."
"Are international calls, international roaming, and premium services included in The Starter Bundle?","No, they are excluded."
"Does The Everyday Essentials package explicitly exclude any services?","Yes, it specifically excludes international calls, international roaming, calls to premium rate numbers, and premium SMS services."
"What kind of usage is subject to the Fair Usage Policy in The Power User Plan?","Personal and non-commercial use. Commercial or non-personal usage patterns that could interfere with network operations are prohibited."
"What happens if usage on The Family Connect plan is disproportionate?","Disproportionate usage may result in network management actions including, but not limited to, call or SMS limitations, speed reduction, suspension of service, or account termination."
"Where can I find standard international roaming rates for usage beyond the bonus allowances in The Traveler's Buddy?","Usage beyond these international allowances will be billed at the standard international roaming rates as outlined in the ""Roaming"" document."
"Does The Basic Talk & Text package offer data speed reduction after the cap is reached?","No, there is no speed reduction; data simply stops once the allowance is exhausted."
"What is the general impact of the speed reduction on data in The Data Lover's Plan after exceeding the allowance?","It provides continued basic connectivity to applications at a reduced speed."
"What proof might be required for The Senior Friendly Plan?","Proof of age may be required at activation."
"What happens if the 1000 included voice minutes are exceeded on The Student Connect package?","Voice minutes exceeding the 1000 included will be billed at the standard base rate."
"What is the purpose of the speed reduction on The Tablet Data Plan after the data allowance is consumed?","This speed reduction is a standard network management practice to ensure continued, albeit reduced, service."
"What is the cost of an SMS message while roaming in Argentina?","Sending an SMS message while roaming in Argentina costs ""$0.25"" per SMS."
"Is receiving calls while abroad charged?","Yes, per-minute charges apply to both making and receiving calls while abroad."
"What does it mean if the reported ""echo"" is clearly the customer's own voice delayed?","It's often a network latency issue."
